Name,Url,"Fork source","Creation date","Last update","Last version",Omeka.org,"Omeka min","Omeka target",Author,License,Description,Tags,Link,"Support link","Ini path","Last released zip"
"Omeka Starter",https://github.com/InteractiveMechanics/omeka-starter-theme,,2014-09-10T02:12:24Z,2018-11-11T08:45:58Z,1.1.1,,2.0,,"Interactive Mechanics",GPLv3,"A starter Omeka theme, built for Omeka v2.2.2, featuring Twitter Boostrap v3.3.2.","b&w, minimal, skeleton, black, white, bootstrap",,https://github.com/InteractiveMechanics,,
"Pari with Joanna edits",https://github.com/gmulibdigital/ahistoryofmason,,2016-06-07T15:32:18Z,2019-06-04T15:48:23Z,0.9.6.4,,1.3,1.4,Parimala-Joanna,GPL,"Configurable theme with featured image gallery (Awkward Showcase) on homepage and built-in lightbox (FancyBox) on items/show pages, plus lots of other configurable theme options, including custom homepage text, switchable stylesheets, and more. Also includes some basic theme styling for the Exhibit Builder and MyOmeka plugins, as well as handy inclusion of DocsViewer template code.  Based loosely on Berlin theme by Jeremy Boggs and Ken Albers.","clean, sans-serif, theme options, configurable",,,,
Perinum,https://github.com/biblibre/omeka-theme-perinum,,2017-08-16T10:15:10Z,2019-10-04T13:51:59Z,0.1.0,,2.4,,BibLibre,GPLv3,"Modern responsive theme based on Avantgarde.",,,https://github.com/biblibre/omeka-theme-perinum/issues,,
Philly,https://github.com/libmanuk/Philly,,2017-01-31T12:42:04Z,2021-11-29T23:28:21Z,1.0,,2.3,,"By Eric Weig, Doug Boyd, Janneken Smucker",GPLv3,"An extension of the Berlin theme for use with collections including Oral History and the OHMS Oral History Viewer.",,,http://omeka.org/forums/forum/themes-and-public-display,,
PhillySigns,https://github.com/sashafr/phillysigns,,2018-09-10T00:01:27Z,2021-02-24T20:06:04Z,1.0,,2.5,,"Penn Libraries Digital Scholarship Team",,"Minimalist inspired theme for video clip galleries - built for Philly Signs project.",,,https://github.com/upenndigitalscholarship/phillysigns/issues,,
"Pinstripe 2",https://github.com/JonathanReeve/theme-pinstripe2,,2013-06-01T17:46:23Z,2014-05-20T12:22:17Z,2.1.1,,2.0,,"Jonathan Reeve",GPLv3,"An updated version of the Pinstripe theme for Omeka 2.0. Built from the Seasons theme.",,,http://omeka.org/forums/forum/themes-and-public-display,,
Pinstripe,https://github.com/JonathanReeve/docmap,,2012-06-12T18:22:59Z,2014-04-07T05:45:30Z,1.5,,1.5,1.5,"Jonathan Reeve",GPLv3,"An elegant, buttoned-down theme based on the aesthetic of a pinstripe suit with a purple tie. Browse Items and Browse Exhibits views are image-centered, and fit more items on the page, at the expense of metadata. This theme works best by first running the Image Resize plugin on your images, to generate 400 pixel thumbnails and 200 pixel square thumbnails.",,,http://omeka.org/forums/forum/themes-and-public-display,,
"Power of Place",https://github.com/chnm/powerofplace-theme,,2011-06-20T00:12:12Z,2022-02-08T18:34:56Z,1.0,,1.3,1.3,"Chris Raymond",GPL,"Theme for the Power of Place site.",,,,,
"Preserving Lafayette",https://github.com/williamgkzhang/prsvlft_omeka_theme,,2014-06-01T19:49:26Z,2014-06-01T20:53:37Z,2.1.1,,2.0,,"Lafayette Developer's Network",GPLv3,"Theme for Preserving Lafayette","black, white, serif",,http://omeka.org/forums/forum/themes-and-public-display,,
"RBML - Rotator",https://github.com/fcd1/rbml-rotator,,2014-01-13T22:58:36Z,2015-12-02T19:43:48Z,2,,2,2,"Joanna DiPasquale, Fred Duby",GPL,"Rotating header, blue, yellow","minimal, modern, blue, yellow, columbia, sans-serif",,,,
RBML,https://github.com/fcd1/rbml,,2014-01-13T22:54:39Z,2015-12-02T19:30:05Z,2.0,,2.0,2.0,"Joanna DiPasquale, Fred Duby",GPL,"Square, featured home page, brown","square, featured home page, brown",,,,
Rhythm,https://github.com/omeka/theme-rhythm,,2011-07-06T17:09:42Z,2022-01-24T20:18:46Z,2.4.2,2.2,3.0,,"Omeka Team",GPL,"An energetic two-column theme, with different style sheet options","lines, sans-serif, configuration",,https://omeka.org/forums/forum/themes-and-public-display,,https://github.com/omeka/theme-rhythm/releases/download/v2.4.2/theme-rhythm-v2.4.2.zip
"Santa Fe",https://github.com/omeka/theme-santa-fe,,2011-07-06T17:14:22Z,2022-01-24T20:20:18Z,2.5.2,2.2,3.0,,"Omeka Team",GPLv3,"Theme based on the Bracero History Archive.",,,https://omeka.org/forums/forum/themes-and-public-display,,https://github.com/omeka/theme-santa-fe/releases/download/v2.5.2/theme-santa-fe-v2.5.2.zip
SCKLS-NCI,https://github.com/weepsie/nciarchive,,2019-04-11T14:02:40Z,2019-04-25T15:52:55Z,1.1.0,,2.0,,"Interactive Mechanics",GPLv3,"Customised version of the South Central Kansas Library System (SCKLS) theme to be used by National College of Ireland.","parent, flexible, bootstrap, sass, customizable",,http://interactivemechanics.com,,
SCKLS,https://github.com/InteractiveMechanics/sckls-omeka,,2014-06-21T18:49:14Z,2018-11-13T16:11:19Z,1.1.0,,2.0,,"Interactive Mechanics",GPLv3,"The parent theme created to be used and customized by South Central Kansas Library System (SCKLS).","parent, flexible, bootstrap, sass, customizable",,http://interactivemechanics.com,,
Scribe,https://github.com/Daniel-KM/Omeka-theme-Scribe,,2013-11-06T13:03:45Z,2022-02-01T23:35:18Z,2.0,,2.0,,"University of Iowa Libraries [upgraded by Daniel Berthereau for Mines ParisTech]",GPLv3,"A custom theme from the DIY History project",,,http://www.lib.uiowa.edu/drp/,,
Seasons-AHP,https://github.com/pcouchet/seasons-ahp,,2016-01-07T10:53:29Z,2016-01-07T13:24:51Z,1.0,,2.0,,"Roy Rosenzweig Center for History and New Media - AHP",GPLv3,"A colorful theme with a configuration option to switch style sheets for a particular season, plus 'night'.","yellow, blue, summer, season, fall, orange, green, dark",,http://omeka.org/forums/forum/themes-and-public-display,,
Seasons,https://github.com/BCDigSchol/MoR-omeka-theme,,2021-01-25T20:14:40Z,2021-03-29T18:17:52Z,2.5.1,,2.5,,"Roy Rosenzweig Center for History and New Media",GPLv3,"A colorful theme with a configuration option to switch style sheets for a particular season, plus 'night'.","yellow, blue, summer, season, fall, orange, green, dark",,http://omeka.org/forums/forum/themes-and-public-display,,
Seasons,https://github.com/omeka/theme-seasons,,2011-07-06T17:19:17Z,2022-01-24T20:19:29Z,2.6.2,2.4,3.0,,"Omeka Team",GPLv3,"A colorful theme with a configuration option to switch style sheets for a particular season, plus 'night'.","yellow, blue, summer, season, fall, orange, green, dark",,https://omeka.org/forums/forum/themes-and-public-display,,https://github.com/omeka/theme-seasons/releases/download/v2.6.2/theme-seasons-v2.6.2.zip
Ships,https://github.com/csbailey5t/ships_theme,,2015-01-27T21:36:19Z,2015-01-27T21:51:20Z,1.0-rc.2,,2.0,,"Scholars' Lab","Apache 2.0","A modified version of the Neatscape theme for the Catalogue of Ships project",,,https://github.com/csbailey5t/ships_theme,,
Simple-Leeds-GATE,https://github.com/stephen-rowan/leeds-gate-simple,,2017-05-04T18:30:54Z,2017-12-07T18:18:41Z,2.3.1,,2.3,,"Stephen Rowan",GPLv3,"An adaption of the Seasons theme for the Leeds-GATE archive.","yellow, blue, summer, season, fall, orange, green, dark",,https://www.leedsgateheritage.com,,
Singing,https://github.com/kalbers/singing,,2012-08-07T15:04:57Z,2013-10-13T17:05:20Z,0.1,,1.5,1.5.3,RRCHNM,GPL,,,,,,
SIUE,https://github.com/SIUE-Library/siue-omeka-theme,,2019-10-22T16:06:59Z,2021-04-07T13:44:15Z,0.5,,2.5,,"Matt Gross, Southern Illinois University Edwardsville",GPLv3,"Omeka theme for SIUE digital exhibits.","red, black, sans-serif, SIUE, Southern Illinois University Edwardsville",,mailto:matgros@siue.edu?Subject=SIUE%20Omeka%20Theme%20Support,,
"Southern Foodways Alliance",https://github.com/Omeka-External/sfa-theme,,2019-09-06T18:09:05Z,2019-12-11T19:05:32Z,1.0,,2.5,,"Omeka Team",GPLv3,"Theme for Southern Foodways Alliance website.",,,,,
SPOKEdb-O,https://github.com/libmanuk/Spokedb-O,,2017-01-18T23:51:12Z,2019-01-15T13:25:49Z,1.0,,2.3,,"By Eric Weig, Doug Boyd, Janneken Smucker",GPLv3,"A theme for Oral History digital libraries.",,,http://omeka.org/forums/forum/themes-and-public-display,,
"Super 8 Festivals",https://github.com/MichaelGatesDev/super8festivals-omeka-theme,,2019-10-06T20:58:39Z,2020-06-07T17:38:30Z,1.0.0,,2.8,,"Michael Gates","All Rights Reserved","A custom theme for the Super 8 Festivals website","super8festivals, supereightfestivals, super8",,https://github.com/MichaelGatesDev/super8festivals-omeka-theme/issues,,
SWHPL,https://github.com/gsoules/swhpl,,2017-09-26T20:39:23Z,2017-09-29T16:36:02Z,1.1,,2.5,2.5,"George Soules, Southwest Harbor Public Library (SWHPL)",GPLv3,"Derived from the Emiglio theme by Roy Rosenzweig Center for History and New Media",,,https://github.com/gsoules/swhpl,,
"Take Back",https://github.com/scholarslab/takeback,,2014-12-01T14:52:38Z,2020-10-27T14:33:23Z,1.0,,2.0,,"Scholars' Lab","Apache 2.0","A theme for Take Back archive, based on the Neatscape theme.",,,http://github.com/scholarslab/takeback,,
"Thanks, Roy -- remodded for VaTech",https://github.com/patrickmj/default-mod,,2015-12-08T20:53:47Z,2015-12-08T20:56:04Z,1,,2.3,,"Patrick Murray-John",GPLv3,"A tribute to Roy Rosenzweig, with updated typography and responsive styles.",,,,,
"Thanks, Roy",https://github.com/kirschbombe/cesaire_omeka_theme,,2015-07-30T22:12:53Z,2015-11-09T20:52:31Z,2.0.2,,2.0,,"Roy Rosenzweig Center for History and New Media",GPLv3,"A tribute to Roy Rosenzweig, with updated typography and responsive styles.","black, white, serif",,http://omeka.org/forums/forum/themes-and-public-display,,
"Thanks, Roy",https://github.com/omeka/theme-thanksroy,,2011-07-06T17:23:30Z,2022-01-24T20:19:40Z,2.6.5,2.4,3.0,,"Omeka Team",GPLv3,"A tribute to Roy Rosenzweig, with updated typography and responsive styles.","black, white, serif",,https://omeka.org/forums/forum/themes-and-public-display,,https://github.com/omeka/theme-thanksroy/releases/download/v2.6.5/theme-thanksroy-v2.6.5.zip
"The Audio",https://github.com/zerocrates/The-Audio,,2013-02-28T04:25:35Z,2018-02-13T21:31:11Z,1.0,,2.0,2.0,"Pop Up Archive based on the Minimalist by Laura Veprek",GPL,"Optimized for sharing your sound.","minimal, audio, customizable, sans-serif",,,,
"The Cinema Projectionist",https://github.com/digihum/omeka-theme-projproj,,2018-08-20T09:17:53Z,2018-08-20T09:19:50Z,1.1.1,,2.0,,"Warwick Digital Humanities",GPLv3,"Theme for 'The Cinema Projectionist' - an online exhibit from the 'Projection Project'","b&w, minimal, skeleton, black, white, bootstrap",,https://warwick.ac.uk/digitalhumanities,,
"The Daily",https://github.com/omeka/theme-thedaily,,2016-07-07T15:14:45Z,2021-09-29T15:48:44Z,1.5.3,1.1,3.0,3.0,"Omeka Team",GPLv3,"Image-oriented theme for Omeka.",,,https://github.com/omeka/theme-thedaily/wiki,,https://github.com/omeka/theme-thedaily/releases/download/v1.5.3/theme-thedaily-v1.5.3.zip
"The Once and Future Institute Park",https://github.com/ryodine/hu3900,,2019-04-15T17:33:13Z,2020-04-15T19:52:55Z,1.1,,2.5,,"Ryan D. Johnson & Roy Rosenzweig Center for History and New Media",,"Theme for The Once and Future Institute Park, a modified version of the Berlin theme",,,,,https://github.com/ryodine/hu3900/releases/download/1.1/institutepark-1.1.zip
"Thème Bibnum Bordeaux 3 version 2",https://github.com/symac/theme-bordeaux3,,2012-11-06T14:56:59Z,2018-10-11T14:51:06Z,0.1,,2.0,2.0,"Sylvain Machefert",GPL,"Thème réalisé dans le cadre de la création de la bibliothèque numérique de Bordeaux 3",,,,,
U2TW,https://github.com/l34marr/omeka-u2tw,,2015-09-24T03:52:51Z,2015-09-24T08:36:02Z,1,,2.2,,"TsungWei Hu",GPLv3,"Modern responsive theme based on Avantgarde.",,,http://github.com/l34marr/omeka-u2tw/issues,,
"UCCA Digital",https://github.com/tmannell/uccdigital,,2018-07-10T11:09:17Z,2019-02-15T17:32:07Z,1.1.1,,2.0,,"Thomas Mannell",GPLv3,"A custom theme built for the United Church of Canada Archives","b&w, minimal, skeleton, black, white, bootstrap",,https://github.com/InteractiveMechanics,,
"UCSC Omeka",https://github.com/UCSCLibrary/ucsc-exhibits-theme,,2015-09-17T23:15:03Z,2018-05-14T19:54:21Z,2.1.1,,2.0,,"Bryn Kanar",GPLv3,"Theme for the UCSC Library Digital Collections Omeka based on the Thanks Roy theme by the Roy Rosenzweig Center for History and New Media: A tribute to Roy Rosenzweig, with updated typography and responsive styles.","black, white, serif",,http://omeka.org/forums/forum/themes-and-public-display,,
"UHEC Minimal",https://github.com/NumerousHats/omeka-uhec-minimal,,2020-11-04T21:16:56Z,2020-11-04T22:13:51Z,2.4.2,,2.5,,"Michael Andrec",GPLv3,"For use in an iframe.","lines, minimal, architectural, purple, white, mobile-first, sans-serif",,http://omeka.org/forums/forum/themes-and-public-display,,
"UIC GeoLibrary",https://github.com/jonfackrell/geolibrary,,2021-07-01T05:20:51Z,2021-07-01T05:28:03Z,1.0.0,,2.7,,"Jon Fackrell - RefBytes",GPLv3,"A custom theme for the UIC GeoLibrary.",,,http://geolibrary.org/,,
UPENNLIB_Emiglio,https://github.com/upenn-libraries/upennlib_emiglio,,2019-12-02T14:55:14Z,2021-01-30T07:32:00Z,2.3,,2.5,2.5,"Katherine Lynch, University of Pennsylvnia Libraries; Roy Rosenzweig Center for History and New Media",GPLv3,"Adapted for Penn Libraries; Named after our favorite robot. A simple, minimal theme with reds and greens.",,,http://omeka.org/forums/forum/themes-and-public-display,,
UPENNLIB_Kislak_ShadowPage,https://github.com/upenn-libraries/upenn_kislak_shadowpage,,2019-01-24T13:34:24Z,2019-01-24T13:45:56Z,2.5,,2.5,,"Katherine Lynch, University of Pennsylvania Libraries; Roy Rosenzweig Center for History and New Media",GPLv3,"Kislak Center Omeka theme for Penn Libraries with ShadowPage functionality.","black, white, serif",,http://omeka.org/forums/forum/themes-and-public-display,,
UPENNLIB_SC_ShadowPage_Bootstrap,https://github.com/upenn-libraries/upennlib_sc_shadowpage_bootstrap,,2019-10-24T19:07:23Z,2020-11-18T17:46:31Z,2.6,,2.6,,"Katherine Lynch, University of Pennsylvania Libraries; Roy Rosenzweig Center for History and New Media",GPLv3,"Special Collections Omeka theme for Penn Libraries with Bootstrap and ShadowPage functionality.","black, white, serif",,http://omeka.org/forums/forum/themes-and-public-display,,
"UPENNLIB_Thanks, Roy",https://github.com/upenn-libraries/upennlib_default,,2019-12-02T14:57:04Z,2019-12-02T14:57:33Z,2.5,,2.5,,"Katherine Lynch, University of Pennsylvania Libraries; Roy Rosenzweig Center for History and New Media",GPLv3,"Adapted for Penn Libraries; A tribute to Roy Rosenzweig, with updated typography and responsive styles.","black, white, serif",,http://omeka.org/forums/forum/themes-and-public-display,,
UVA,https://github.com/waynegraham/uva_theme,,2012-06-22T13:06:15Z,2020-12-11T14:18:43Z,0.0.1,,1.5.1,1.5.1,"Scholars' Lab","Apache 2.0","Clean lines, architectural.",library,,,,
"UWM Special Collections",https://github.com/annamichelle/theme-uwmspl,,2014-11-26T19:17:55Z,2020-09-14T17:45:45Z,1.1.0,,2.2,2.2,"Anna Michelle Martinez-Montavon",GPLv3,"An Omeka theme for UWM Libraries Special Collections exhibits that offers multiple style sheets and other customizations. This theme is based on 'Emiglio' by the Roy Rosenzweig Center for History and New Media.",,,https://github.com/annamichelle/theme-uwmspl/issues,,
"Vintage Paperbacks",https://github.com/BGSU-LITS/Vintage-Paperbacks-Theme,,2013-01-28T16:43:36Z,2014-01-12T23:59:55Z,0.1.0,,2.0,,"Bowling Green State University Libraries",MIT,"Vintage Paperbacks theme for Omeka 2.0",vintage,,https://github.com/BGSU-LITS/Vintage-Paperbacks-Theme/issues,,
"Your's Title",https://github.com/scholarslab/omeka-theme-minify,,2010-11-17T16:20:19Z,2013-10-30T07:08:59Z,1.0,,1.3,1.3,"Your Name",Apache2,"A brief description of your theme","tags, for, your theme",,,,
"Your Title",https://github.com/kimisgold/theme-rookie,,2014-06-09T15:25:49Z,2014-06-11T01:18:41Z,0.1,,2.1.4,,"Your Name",GPLv3,"A new Omeka theme.",,,http://github.com/you/your-theme.git,,
ᎠᏂᏴᏫᏯ,https://github.com/YaleDHLab/ani-yun-wiya,,2016-03-13T17:20:34Z,2019-01-18T17:07:06Z,1.1.1,,2.0,,"Yale DHLab",GPLv3,"Ani-yun-wiya is a theme built for Omeka v2.2.2, featuring Twitter Boostrap v3.3.2. Based on the work of Interactive Mechanics' Omeka Starter Theme.",,,https://github.com/yaledhlab,,
